a433-microservices-item-db-1  | 2023-09-16T08:31:47.132+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=5d37e077aa08
a433-microservices-item-db-1  | 2023-09-16T08:31:47.133+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=2378M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
a433-microservices-item-db-1  | 2023-09-16T08:31:47.778+0000 I STORAGE  [initandlisten] WiredTiger message [1694853107:778003][1:0x7f5d9c020a40], txn-recover: Set global recovery timestamp: 0
a433-microservices-item-db-1  | 2023-09-16T08:31:47.801+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-09-16T08:31:47.801+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
a433-microservices-item-db-1  | 2023-09-16T08:31:47.801+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
a433-microservices-item-db-1  | 2023-09-16T08:31:47.801+0000 I CONTROL  [initandlisten] 
a433-microservices-item-db-1  | 2023-09-16T08:31:47.802+0000 I STORAGE  [initandlisten] createCollection: admin.system.version with provided UUID: d35a8658-8e64-4397-b9fc-d6da56269265
a433-microservices-item-db-1  | 2023-09-16T08:31:47.811+0000 I COMMAND  [initandlisten] setting featureCompatibilityVersion to 3.6
a433-microservices-item-db-1  | 2023-09-16T08:31:47.811+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with generated UUID: 0a36fa05-15d8-498a-bf4c-004f98f737d9
a433-microservices-item-db-1  | 2023-09-16T08:31:47.822+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/data/db/diagnostic.data'
a433-microservices-item-db-1  | 2023-09-16T08:31:47.822+0000 I NETWORK  [initandlisten] listening via socket bound to 0.0.0.0
a433-microservices-item-db-1  | 2023-09-16T08:31:47.822+0000 I NETWORK  [initandlisten] listening via socket bound to /tmp/mongodb-27017.sock
a433-microservices-item-db-1  | 2023-09-16T08:31:47.822+0000 I STORAGE  [LogicalSessionCacheRefresh] createCollection: config.system.sessions with generated UUID: f7ba738e-b98b-4edf-98fe-e269775163a9
a433-microservices-item-db-1  | 2023-09-16T08:31:47.822+0000 I NETWORK  [initandlisten] waiting for connections on port 27017
a433-microservices-item-db-1  | 2023-09-16T08:31:47.837+0000 I INDEX    [LogicalSessionCacheRefresh] build index on: config.system.sessions properties: { v: 2, key: { lastUse: 1 }, name: "lsidTTLIndex", ns: "config.system.sessions", expireAfterSeconds: 1800 }
a433-microservices-item-db-1  | 2023-09-16T08:31:47.837+0000 I INDEX    [LogicalSessionCacheRefresh] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
a433-microservices-item-db-1  | 2023-09-16T08:31:47.838+0000 I INDEX    [LogicalSessionCacheRefresh] build index done.  scanned 0 total records. 0 secs
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 preinstall /app
a433-microservices-item-app-1  | > npx npm-force-resolutions
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | npx: installed 6 in 3.409s
a433-microservices-item-app-1  | added 471 packages from 332 contributors and audited 662 packages in 16.546s
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 7 packages are looking for funding
a433-microservices-item-app-1  |   run `npm fund` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | found 101 vulnerabilities (7 low, 34 moderate, 47 high, 13 critical)
a433-microservices-item-app-1  |   run `npm audit fix` to fix them, or `npm audit` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 build /app
a433-microservices-item-app-1  | > node ./node_modules/gulp/bin/gulp.js
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | [08:32:05] Using gulpfile /app/gulpfile.js
a433-microservices-item-app-1  | [08:32:05] Starting 'scripts'...
a433-microservices-item-app-1  | [08:32:08] Finished 'scripts' after 3.57 s
a433-microservices-item-app-1  | [08:32:08] Starting 'default'...
a433-microservices-item-app-1  | [08:32:08] Finished 'default' after 46 μs
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 preinstall /app
a433-microservices-item-app-1  | > npx npm-force-resolutions
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | npx: installed 6 in 1.155s
a433-microservices-item-app-1  | audited 662 packages in 12.443s
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 7 packages are looking for funding
a433-microservices-item-app-1  |   run `npm fund` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | found 101 vulnerabilities (7 low, 34 moderate, 47 high, 13 critical)
a433-microservices-item-app-1  |   run `npm audit fix` to fix them, or `npm audit` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 build /app
a433-microservices-item-app-1  | > node ./node_modules/gulp/bin/gulp.js
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | [08:32:22] Using gulpfile /app/gulpfile.js
a433-microservices-item-app-1  | [08:32:22] Starting 'scripts'...
a433-microservices-item-app-1  | [08:32:26] Finished 'scripts' after 3.54 s
a433-microservices-item-app-1  | [08:32:26] Starting 'default'...
a433-microservices-item-app-1  | [08:32:26] Finished 'default' after 32 μs
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 preinstall /app
a433-microservices-item-app-1  | > npx npm-force-resolutions
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | npx: installed 6 in 1.08s
a433-microservices-item-app-1  | audited 662 packages in 12.475s
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 7 packages are looking for funding
a433-microservices-item-app-1  |   run `npm fund` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | found 101 vulnerabilities (7 low, 34 moderate, 47 high, 13 critical)
a433-microservices-item-app-1  |   run `npm audit fix` to fix them, or `npm audit` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 build /app
a433-microservices-item-app-1  | > node ./node_modules/gulp/bin/gulp.js
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | [08:32:40] Using gulpfile /app/gulpfile.js
a433-microservices-item-app-1  | [08:32:40] Starting 'scripts'...
a433-microservices-item-app-1  | [08:32:43] Finished 'scripts' after 3.3 s
a433-microservices-item-app-1  | [08:32:43] Starting 'default'...
a433-microservices-item-app-1  | [08:32:43] Finished 'default' after 35 μs
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 preinstall /app
a433-microservices-item-app-1  | > npx npm-force-resolutions
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | npx: installed 6 in 1.084s
a433-microservices-item-app-1  | audited 662 packages in 12.454s
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 7 packages are looking for funding
a433-microservices-item-app-1  |   run `npm fund` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | found 101 vulnerabilities (7 low, 34 moderate, 47 high, 13 critical)
a433-microservices-item-app-1  |   run `npm audit fix` to fix them, or `npm audit` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 build /app
a433-microservices-item-app-1  | > node ./node_modules/gulp/bin/gulp.js
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | [08:32:58] Using gulpfile /app/gulpfile.js
a433-microservices-item-app-1  | [08:32:58] Starting 'scripts'...
a433-microservices-item-app-1  | [08:33:01] Finished 'scripts' after 3.35 s
a433-microservices-item-app-1  | [08:33:01] Starting 'default'...
a433-microservices-item-app-1  | [08:33:01] Finished 'default' after 31 μs
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 preinstall /app
a433-microservices-item-app-1  | > npx npm-force-resolutions
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | npx: installed 6 in 1.096s
a433-microservices-item-app-1  | audited 662 packages in 12.419s
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 7 packages are looking for funding
a433-microservices-item-app-1  |   run `npm fund` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | found 101 vulnerabilities (7 low, 34 moderate, 47 high, 13 critical)
a433-microservices-item-app-1  |   run `npm audit fix` to fix them, or `npm audit` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 build /app
a433-microservices-item-app-1  | > node ./node_modules/gulp/bin/gulp.js
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | [08:33:15] Using gulpfile /app/gulpfile.js
a433-microservices-item-app-1  | [08:33:15] Starting 'scripts'...
a433-microservices-item-app-1  | [08:33:18] Finished 'scripts' after 3.43 s
a433-microservices-item-app-1  | [08:33:18] Starting 'default'...
a433-microservices-item-app-1  | [08:33:18] Finished 'default' after 31 μs
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 preinstall /app
a433-microservices-item-app-1  | > npx npm-force-resolutions
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | npx: installed 6 in 1.186s
a433-microservices-item-app-1  | audited 662 packages in 12.67s
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 7 packages are looking for funding
a433-microservices-item-app-1  |   run `npm fund` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | found 101 vulnerabilities (7 low, 34 moderate, 47 high, 13 critical)
a433-microservices-item-app-1  |   run `npm audit fix` to fix them, or `npm audit` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 build /app
a433-microservices-item-app-1  | > node ./node_modules/gulp/bin/gulp.js
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | [08:33:33] Using gulpfile /app/gulpfile.js
a433-microservices-item-app-1  | [08:33:33] Starting 'scripts'...
a433-microservices-item-app-1  | [08:33:36] Finished 'scripts' after 3.32 s
a433-microservices-item-app-1  | [08:33:36] Starting 'default'...
a433-microservices-item-app-1  | [08:33:36] Finished 'default' after 41 μs
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 preinstall /app
a433-microservices-item-app-1  | > npx npm-force-resolutions
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | npx: installed 6 in 1.067s
a433-microservices-item-app-1  | audited 662 packages in 12.475s
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 7 packages are looking for funding
a433-microservices-item-app-1  |   run `npm fund` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | found 101 vulnerabilities (7 low, 34 moderate, 47 high, 13 critical)
a433-microservices-item-app-1  |   run `npm audit fix` to fix them, or `npm audit` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 build /app
a433-microservices-item-app-1  | > node ./node_modules/gulp/bin/gulp.js
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | [08:33:50] Using gulpfile /app/gulpfile.js
a433-microservices-item-app-1  | [08:33:50] Starting 'scripts'...
a433-microservices-item-app-1  | [08:33:54] Finished 'scripts' after 3.29 s
a433-microservices-item-app-1  | [08:33:54] Starting 'default'...
a433-microservices-item-app-1  | [08:33:54] Finished 'default' after 36 μs
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 preinstall /app
a433-microservices-item-app-1  | > npx npm-force-resolutions
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | npx: installed 6 in 1.1s
a433-microservices-item-app-1  | audited 662 packages in 12.991s
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 7 packages are looking for funding
a433-microservices-item-app-1  |   run `npm fund` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | found 101 vulnerabilities (7 low, 34 moderate, 47 high, 13 critical)
a433-microservices-item-app-1  |   run `npm audit fix` to fix them, or `npm audit` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 build /app
a433-microservices-item-app-1  | > node ./node_modules/gulp/bin/gulp.js
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | [08:34:08] Using gulpfile /app/gulpfile.js
a433-microservices-item-app-1  | [08:34:08] Starting 'scripts'...
a433-microservices-item-app-1  | [08:34:12] Finished 'scripts' after 3.42 s
a433-microservices-item-app-1  | [08:34:12] Starting 'default'...
a433-microservices-item-app-1  | [08:34:12] Finished 'default' after 38 μs
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 preinstall /app
a433-microservices-item-app-1  | > npx npm-force-resolutions
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | npx: installed 6 in 1.281s
a433-microservices-item-app-1  | audited 662 packages in 12.959s
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | 7 packages are looking for funding
a433-microservices-item-app-1  |   run `npm fund` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | found 101 vulnerabilities (7 low, 34 moderate, 47 high, 13 critical)
a433-microservices-item-app-1  |   run `npm audit fix` to fix them, or `npm audit` for details
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | > docker-software-delivery@1.0.0 build /app
a433-microservices-item-app-1  | > node ./node_modules/gulp/bin/gulp.js
a433-microservices-item-app-1  | 
a433-microservices-item-app-1  | [08:34:27] Using gulpfile /app/gulpfile.js
a433-microservices-item-app-1  | [08:34:27] Starting 'scripts'...
a433-microservices-item-app-1  | [08:34:30] Finished 'scripts' after 3.44 s
a433-microservices-item-app-1  | [08:34:30] Starting 'default'...
a433-microservices-item-app-1  | [08:34:30] Finished 'default' after 29 μs
